JobSatisfaction,Age,Gender,EmployerSize,EmploymentDummy,JobFunctionDummy01,JobFunctionDummy02,CompensationAmount,RemoteWork,Tenure,BarriersOrganizational,BarriersSupport,BarriersTechnical
2.0,25,0,2500,0,0,1,46409.78149,2,4.0,2.5,2.5,2.666666667
4.0,25,1,60,1,0,0,9200.538889,5,1.5,1.5,2.0,3.333333333
2.0,32,1,10000,0,0,1,145000.0,3,8.0,2.0,4.0,2.0
4.5,33,1,750,0,0,0,41135.94269,3,4.0,2.666666667,2.0,2.0
2.5,28,0,2500,0,0,0,660.8096584,3,1.5,3.0,3.5,3.5
4.0,48,1,10000,0,0,0,350000.0,2,10.0,3.333333333,3.666666667,3.333333333
2.0,30,1,2500,0,1,0,15619.13738,3,8.0,3.0,3.0,3.0
3.5,43,1,10000,0,0,0,42190.71045,3,10.0,3.666666667,3.0,2.75
3.0,56,1,10000,0,0,0,179310.5194,3,4.0,3.25,3.0,4.0
4.0,40,0,10000,0,0,1,101000.0,1,1.5,3.0,4.0,4.0
4.5,29,0,300,0,0,0,45882.39761,1,4.0,2.833333333,3.0,3.0
3.5,45,1,10000,0,0,1,131436.2698,2,8.0,2.0,3.0,3.25
3.0,23,1,300,0,0,0,12014.72106,1,4.0,3.0,2.0,1.0
1.5,26,1,60,0,1,0,85000.0,3,8.0,2.0,3.666666667,3.25
3.5,32,1,300,0,0,1,170000.0,3,8.0,2.0,2.5,3.0
2.5,51,1,60,0,0,1,57801.27332,2,4.0,3.0,3.0,4.0
4.0,28,1,750,0,0,1,63286.06567,2,4.0,2.0,2.0,2.0
5.0,29,1,300,0,0,0,43879.92113,2,4.0,2.0,2.0,2.0
4.5,27,1,300,0,0,1,55902.69135,2,4.0,2.6,3.0,2.25
1.5,34,1,10000,0,0,1,12014.72106,3,0.5,4.0,3.666666667,3.5
2.5,25,1,10000,0,1,0,22939.15229,3,4.0,4.0,2.0,3.166666667
2.5,31,1,300,0,1,0,73185.90439,1,4.0,2.0,2.0,2.666666667
3.5,42,1,2500,0,0,1,95000.0,2,10.0,3.0,2.0,3.5
3.0,48,1,750,0,1,0,94929.09851,3,10.0,3.333333333,2.0,3.666666667
1.5,40,1,60,0,0,0,125000.0,2,4.0,2.0,2.0,2.0
4.0,50,1,60,0,0,0,155000.0,2,10.0,3.0,2.666666667,4.0
3.5,38,0,7500,0,0,0,55902.69135,4,10.0,3.666666667,4.0,3.25
4.0,25,1,300,0,0,0,919.9726983,1,4.0,3.0,3.0,3.0
4.5,40,1,7500,0,0,0,63286.06567,2,1.5,3.333333333,4.0,3.0
2.5,32,0,2500,0,0,0,163500.0,4,10.0,2.5,2.5,3.0
4.0,26,1,10000,0,0,0,24029.44212,3,4.0,4.0,2.0,3.0
3.5,38,1,60,0,1,0,68559.90448,3,8.0,3.0,2.0,3.333333333
4.5,30,1,7500,1,0,1,90000.0,3,8.0,2.5,1.0,4.0
3.5,32,1,2500,0,0,1,44300.24597,2,4.0,3.0,3.0,3.0
4.0,41,1,10000,0,0,0,210000.0,2,8.0,2.666666667,2.0,2.5
4.5,28,1,10000,0,0,1,18000.0,2,1.5,2.5,3.666666667,3.333333333
5.0,31,1,2500,0,0,0,8053.150795,5,0.5,2.75,2.666666667,3.5
4.0,28,1,60,0,0,1,58012.22687,2,4.0,2.5,2.0,2.75
4.5,27,1,2500,0,0,1,155000.0,3,4.0,2.0,2.0,2.6
3.5,26,1,10000,0,0,1,36916.87164,2,1.5,2.75,3.0,3.5
3.0,29,1,60,0,0,0,56957.45911,2,4.0,3.0,3.0,3.0
3.5,35,1,300,0,0,0,170000.0,3,1.5,3.0,2.0,3.0
3.5,23,1,750,1,0,0,1059.557179,3,1.5,2.0,2.0,2.0
3.5,37,1,15,0,0,1,210953.5522,2,4.0,2.75,3.333333333,3.0
4.0,50,1,5,0,0,1,35862.10388,2,4.0,3.5,2.0,3.0
3.5,38,1,10000,0,0,0,60073.60531,2,4.0,2.5,2.666666667,3.333333333
4.0,45,1,5,0,0,1,35484.03026,4,10.0,3.0,2.0,3.0
3.5,24,1,10000,0,0,1,13687.38024,3,1.5,2.0,2.5,3.5
2.0,33,1,10000,0,0,1,112000.0,3,1.5,3.0,3.0,3.666666667
1.0,39,1,2500,0,1,0,41574.0,3,10.0,3.571428571,4.0,3.166666667
3.0,26,1,60,0,0,1,1491.044899,2,4.0,3.0,2.75,2.666666667
3.0,35,1,10000,0,0,1,42190.71045,3,4.0,2.5,3.5,3.666666667
3.0,41,1,10000,0,0,1,67087.07903,3,1.5,2.0,2.0,3.0
3.5,50,1,15,0,0,0,105476.7761,5,1.5,3.0,3.0,2.0
2.5,25,1,750,0,0,1,100000.0,2,1.5,2.0,2.0,2.0
2.5,25,0,300,0,0,1,150000.0,2,4.0,2.0,2.0,3.0
2.5,31,1,60,0,0,1,51707.31754,1,0.5,3.333333333,3.666666667,4.0
3.5,31,1,10000,0,0,1,16820.60949,3,0.5,1.0,2.0,2.4
3.0,30,1,750,0,0,1,19223.5537,3,8.0,3.666666667,3.75,2.0
3.5,33,0,60,0,0,0,91.42222464,3,4.0,4.0,3.0,4.0
2.5,27,1,300,0,0,1,9611.776849,2,0.5,2.5,3.5,2.0
2.5,31,1,2500,0,0,1,126000.0,3,8.0,3.0,2.5,3.0
5.0,34,0,750,0,0,0,110000.0,2,4.0,2.0,3.0,2.5
3.5,54,1,300,0,0,0,170000.0,3,8.0,4.0,1.0,3.0
3.0,24,1,10000,0,0,1,54694.34249,3,4.0,3.0,3.5,3.0
4.0,34,1,300,0,0,1,1279.55288,3,4.0,4.0,3.5,3.0
3.5,36,1,10000,0,0,1,80000.0,2,1.5,1.75,3.0,2.2
4.0,26,1,750,0,0,1,36916.87164,3,1.5,2.4,2.0,2.833333333
3.5,32,1,10000,0,0,1,25230.91423,3,4.0,2.333333333,2.0,2.75
1.0,36,1,2500,0,0,0,55649.84672,3,4.0,3.0,3.0,3.0
4.0,40,1,300,0,0,1,10907.96624,4,4.0,2.0,2.0,2.0
4.0,26,1,10000,0,1,0,28020.46789,2,4.0,4.0,3.0,2.8
3.5,30,1,10000,0,0,1,18116.32071,4,8.0,3.333333333,3.333333333,4.0
4.0,25,1,10000,0,0,1,98000.0,1,4.0,3.0,2.0,1.0
3.5,37,1,10000,0,0,1,42051.52371,2,10.0,2.0,2.75,3.0
3.5,52,1,10000,0,0,0,200000.0,4,10.0,2.5,3.0,2.5
3.0,30,1,300,0,0,1,8000.0,2,4.0,3.8,3.5,3.0
4.0,30,1,300,0,0,1,15139.84051,2,1.5,2.666666667,3.0,4.0
2.5,30,1,300,0,0,0,150000.0,3,4.0,2.5,4.0,3.0
3.5,23,0,10000,0,0,0,80000.0,2,4.0,3.5,3.0,2.5
3.5,27,1,15,0,0,1,154088.0503,2,1.5,3.0,3.0,2.666666667
5.0,23,1,5,0,0,1,4325.299582,2,1.5,2.5,2.5,3.0
3.0,35,1,10000,0,0,0,2523.091423,3,10.0,2.333333333,3.0,2.75
2.0,37,1,7500,0,0,1,142389.2923,3,10.0,3.5,2.666666667,3.666666667
4.0,41,1,60,0,0,0,123000.0,3,10.0,2.6,3.333333333,3.5
4.5,41,1,300,0,0,0,71358.76922,2,8.0,2.5,3.333333333,3.0
3.5,49,0,7500,0,0,0,330000.0,2,10.0,2.5,3.0,2.666666667
1.5,23,1,15,0,0,1,134.4086022,1,0.5,2.5,4.0,3.0
1.5,35,1,2500,0,0,0,79107.58209,3,8.0,2.5,4.0,1.666666667
3.0,55,1,10000,0,0,0,200000.0,3,10.0,2.666666667,2.5,3.0
4.0,31,1,300,0,0,0,95000.0,2,8.0,2.666666667,3.5,4.0
3.0,47,1,10000,0,0,0,250000.0,4,10.0,3.0,3.0,3.0
3.5,40,1,300,0,0,0,105000.0,3,8.0,3.0,2.5,2.0
2.5,25,1,2500,0,0,0,74800.0,2,1.5,3.0,3.0,3.0
4.5,49,1,2500,0,0,0,126161.6167,2,10.0,1.0,2.0,2.333333333
2.5,36,1,10000,1,1,0,135269.8277,3,8.0,3.0,2.5,3.0
5.0,52,1,10000,0,1,0,121976.5073,4,10.0,3.5,2.0,1.0
1.5,26,1,7500,0,0,1,4565.594003,2,1.5,3.0,2.666666667,3.333333333
3.0,31,1,15,0,1,0,63286.06567,3,1.5,2.0,2.0,2.0
3.5,26,1,2500,0,0,1,125000.0,2,4.0,3.0,3.0,2.5
3.5,24,0,60,0,0,1,6531.806158,2,0.5,3.0,3.0,3.0
3.5,65,1,10000,0,0,0,175000.0,1,4.0,2.833333333,3.5,3.0
0.5,31,1,10000,1,0,0,100000.0,3,8.0,3.5,4.0,2.666666667
2.5,32,0,5,0,0,0,25314.42627,3,10.0,3.25,2.5,3.0
2.5,30,1,10000,0,0,1,91482.38049,2,8.0,3.0,3.0,2.5
4.0,27,1,300,0,0,1,4.364903429,3,4.0,2.333333333,3.0,3.0
3.0,42,1,10000,0,1,0,35832.33858,3,10.0,3.4,3.0,3.0
4.5,31,0,15,0,0,1,200000.0,3,4.0,2.5,2.0,3.0
3.5,36,1,300,0,0,1,1201.472106,3,4.0,3.5,2.0,3.0
5.0,31,1,60,0,0,1,85000.0,2,8.0,4.0,3.0,2.666666667
2.5,28,1,5,0,0,1,75000.0,3,8.0,3.5,3.333333333,2.5
3.0,29,0,2500,0,0,1,31643.03284,3,4.0,4.0,3.0,2.5
3.5,26,1,10000,0,0,0,65395.6012,3,4.0,3.0,3.0,3.0
3.5,26,1,2500,0,0,0,4036.946276,2,8.0,3.0,3.0,3.5
4.5,30,1,2500,0,0,1,75000.0,3,4.0,3.8,4.0,4.0
3.0,23,1,10000,0,0,0,4805.888424,3,1.5,2.0,2.0,2.0
2.5,22,1,2500,0,0,0,6608.096584,2,1.5,2.5,2.333333333,2.5
3.5,28,1,10000,0,0,0,61176.53015,2,4.0,2.5,2.0,3.0
2.0,27,1,2500,0,0,0,91482.38049,3,4.0,2.0,3.0,3.0
4.5,41,1,60,0,0,1,94929.09851,3,10.0,3.0,3.0,3.5
3.5,24,1,300,0,0,0,18296.4761,4,4.0,2.0,2.0,3.0
4.0,31,1,60,0,0,0,46351.07278,3,8.0,2.0,3.0,2.5
4.5,37,1,2500,0,0,0,169771.8485,4,10.0,3.0,2.5,2.5
1.5,36,1,10000,0,0,1,108187.4341,3,10.0,2.0,2.0,2.0
3.0,28,1,2500,0,0,0,778.8620592,1,0.5,3.0,4.0,3.0
3.0,31,1,2500,0,1,0,42932.50474,3,4.0,3.0,3.0,2.333333333
4.0,21,1,15,0,0,0,399.4164406,5,1.5,4.0,2.0,2.5
4.0,32,1,15,0,0,0,58012.22687,2,8.0,3.8,3.666666667,3.5
